ma_so_thue,ten_cong_ty,nam_thanh_lap,so_dien_thoai,email,dia_chi,nganh_nghe,tinh_thanh,crawled_at
0111464335,CÔNG TY CP XD T&T,,,,"Lô Số 2, Khu Đấu Giá Quyền Sử Dụng Đất Xen Kẹt Nhỏ Lẻ, Thôn, Xã Đại Thanh, Huyện Thanh Trì, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111464938,CÔNG TY TNHH TRẠNG NGUYÊN KIDS EDU,,,,"Số 7, Ngõ 39, Đường Đặng Vũ Hỷ, Phường Việt Hưng, Quận Long Biên, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111465762,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG SẢN XUẤT VÀ THƯƠNG MẠI ANH PHÁT,,,,"Số Nhà 3, Tổ 42, Ngõ 255, Ngách 74 Đường Lĩnh Nam, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111464945,CÔNG TY TNHH HOA ANH DŨNG,,,,"Số 134 Ngô Gia Tự, Phường Việt Hưng, Quận Long Biên, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111465748,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG CÔNG TRÌNH CSM 368,,,,"Số Nhà 7C, Ngõ 238 Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111465106,CÔNG TY CỔ PHẦN THƯƠNG MẠI VẬN TẢI VÀ DU LỊCH THUÝ ANH MT,,,,"Số 4A Ngách 76 Đường Hạ Trại, Phường Long Biên, Quận Long Biên, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111465508,CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH THỜI TRANG AMIE,,,,"Số 69, Ngõ 86, Thôn Đại Tự, Xã Hoài Đức, Huyện Hoài Đức, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111465547,CÔNG TY TNHH MTV TRANG SỨC D'MIA,,,,"Nhà A32, Ô 28, Khu Đô Thị Geleximco Lê Trọng Tấn, Xã An Khánh, Huyện Hoài Đức, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111465265,CÔNG TY TNHH VẬN TẢI VÀ NGHIÊN CỨU ỨNG DỤNG CÔNG NGHỆ CAO VŨ MINH,,,,"Số Nhà 77, Thôn Dương Khê, Xã Vân Đình, Huyện Ứng Hoà, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111464695,CÔNG TY TNHH HỆ TRỤC PHONG THÁI HOÀNG HÀ,,,,"Số Nhà 32 Tổ Tự Quản Số 5 Thôn Xuân Trung, Xã Xuân Mai, Huyện Chương Mỹ, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111463814,CÔNG TY TNHH LE QUY DIGITAL,,,,"Dv02-Lk73 Khu Đất Dịch Vụ Đìa Lão, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111464487,CÔNG TY TNHH TƯ VẤN VÀ THIẾT KẾ KHÔNG GIAN QUÝ,,,,"Căn Hộ 0508 Tòa G3 Khu Đô Thị Greenbay, Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",,Ha Noi,2026-05-08 13:07:55
0111464751,CÔNG TY TNHH THƯƠNG MẠI TUỆ ĐỨC PHÁT,,,,"Số 59, Phố Yên Lãng, Phường Đống Đa, Quận Đống Đa, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464007,CÔNG TY TNHH TM&DV DH VINA,,,,"174 Phan Bá Vành, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111463726,CÔNG TY TNHH KIẾN TRÚC VÀ XÂY DỰNG MINH HIẾU,,,,"Số 121 Đường 419 Thạch Thất, Xã Tây Phương, Huyện Thạch Thất, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0109923831-001,CHI NHÁNH CÔNG TY TNHH ĐẦU TƯ VÀ SẢN XUẤT ĐỨC TÍN (TRUNG TÂM GIÁO DỤC ĐỨC TÍN),,,,"Số 1, Xóm 3 Thôn Tri Lễ, Xã Dân Hòa, Huyện Thanh Oai, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464864,CÔNG TY TNHH GIA BÁCH PHONG,,,,"Số 81 Đông Các, Phường Đống Đa, Quận Đống Đa, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464649,CÔNG TY TNHH THƯƠNG MẠI VÀ MỸ PHẨM ARUMI,,,,"Xóm Bồi Thọ, Thôn Bãi, Xã Bình Minh, Huyện Thanh Oai, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464141,CÔNG TY TNHH HAI THÀNH VIÊN MAISON UNIS,,,,"C39-Nv14 Ô Số 21 Khu Đô Thị Mới Hai Bên Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0319420224-001,CHI NHÁNH HÀ NỘI � CÔNG TY CỔ PHẦN AUREA KIM,,,,"Số 22 Đường Võ Văn Dũng, Phường Đống Đa, Quận Đống Đa, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464543,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ AVE,,,,"Số 4 Ngách 81 Ngõ 345 Phố Khương Trung, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464663,CÔNG TY TNHH PET MOVE,,,,"Nhà G, Số 98 Đường Tô Ngọc Vân, Phường Tây Hồ, Quận Tây Hồ, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111463564,CÔNG TY CỔ PHẦN ZENRIO VINA,,,,"Số 1 Hẻm 123/28/22 Đường Thụy Phương, Phường Đông Ngạc, Quận Bắc Từ Liêm, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111464039,CÔNG TY TNHH THƯƠNG MẠI DV THANH TRÀ,,,,"Số 55 Ngõ 27 Võng Thị, Phường Tây Hồ, Quận Tây Hồ, Hà Nội",,Ha Noi,2026-05-08 13:08:00
0111465018,CÔNG TY CỔ PHẦN CHUỖI CUNG ỨNG SẢN PHẨM NÔNG NGHIỆP THỊNH PHÁT,,,,"Số Nhà 32 Ngách 2 Ngõ 10 Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",,Ha Noi,2026-05-08 13:08:04
0111465593,CÔNG TY TNHH VCL HOLDINGS,,,,"Số 37 Giáp Nhất, Phường Thanh Xuân, Quận Thanh Xuân, Hà Nội",,Ha Noi,2026-05-08 13:08:04
